Yes,Yes
No,No
"Smile ElasticSuite CMS Search","Smile ElasticSuite CMS Search"
"Is searchable","Utiliser dans la recherche"
"CMS settings","Configuration des pages CMS"
"Setting","Configuration"
"Max result","Nombre de résultats maximum"
"Maximum number of results to display in result block.","Nombre maximum de résultats à afficher dans le bloc de résultats de recherche."
"ElasticSuite Cms Page Indexing","Indexer elasticsuite des pages cms"
"Reindex ElasticSuite cms pages.","Réindexation elasticsuite des pages cms"
"Cms page","Page cms"
"Show more","Voir plus"